pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
HD 188641 b,HD 188641,b,1,1,Radial Velocity,2022,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,299.4048303,-37.7448845,-28.65534,2.67804,-16.71524,293.91018,14583.81038,11.9,1.06,9333.03117,29.365,Mass,30.4,,5897.32,1.94,1.07,0.615,,3.89,0.20504,,,64.3399,Gas Giant
HD 189733 b,HD 189733,b,2,1,Radial Velocity,2005,Ground,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph,300.1821223,22.7097759,-3.92282,60.96214,42.17516,308.73661,2.21857567,12.666,1.13,359.1479,1.13,Mass,0.943,K2 V,5052.0,0.75,0.79,-0.461,1.4,4.49,2.65,11.95,3.5,19.7638,Gas Giant
HD 190228 b,HD 190228,b,1,1,Radial Velocity,2022,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,300.7537294,28.3065564,-1.406,65.99346,47.3937,311.68154,1143.59858,12.9,1.15,1598.67689,5.03,Mass,4.09,G5 IV,5360.0,2.59,1.42,0.697,,4.02,,,,62.7146,Gas Giant
HD 190360 b,HD 190360,b,2,2,Radial Velocity,2003,Ground,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph,300.9092476,29.894541,-0.67616,67.41056,48.86427,312.60231,2854.0,13.4,1.2,572.09113,1.8,Mass,1.31,G V,5552.0,1.14,1.0,0.066,8.5,4.3,0.867,,2.2,16.0069,Gas Giant
HD 190647 b,HD 190647,b,1,1,Radial Velocity,2007,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,301.8318167,-35.5395236,-30.03255,5.66045,-14.96944,296.37549,1176.45,13.4,1.19,630.89255,1.985,Msini,1.44,G5 V,5656.0,1.38,1.07,0.297,7.957,4.16,0.41818,42.0,1.83,54.4738,Gas Giant
HD 190984 b,HD 190984,b,1,1,Radial Velocity,2009,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,302.8779827,-64.6202728,-32.85802,331.57931,-43.29446,288.63962,4885.0,13.0,1.16,1137.8257,3.58,Mass,2.85,F8 V,5988.0,1.53,0.91,0.43,,4.02,0.12614,,3.4,148.187,Gas Giant
HD 191806 b,HD 191806,b,1,1,Radial Velocity,2016,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,302.368758,52.2767265,10.30093,87.04635,68.63341,334.03275,1603.38923,12.5,1.12,2966.61035,9.334,Mass,8.35,K0,6010.0,1.4,1.07,0.348,2.9,4.45,0.54607,20.6,3.3,65.6668,Gas Giant
HD 191939 e,HD 191939,e,1,6,Radial Velocity,2022,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,302.0256247,66.8503014,17.72195,99.98716,77.47141,16.03865,101.12,13.0,1.16,112.2,0.35302,Msini,0.281,G9 V,5348.0,0.94,0.81,-0.187,8.7,4.3,1.37,,2.0,53.6089,Gas Giant
HD 191939 f,HD 191939,f,1,6,Radial Velocity,2022,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,302.0256247,66.8503014,17.72195,99.98716,77.47141,16.03865,2200.0,13.4,1.19,660.0,2.07659,Msini,1.51,G9 V,5348.0,0.94,0.81,-0.187,8.7,4.3,1.37,,2.0,53.6089,Gas Giant
HD 192263 b,HD 192263,b,1,1,Radial Velocity,1999,Ground,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,303.4990864,-0.8657574,-18.69708,41.87586,18.53013,305.59383,24.3556,14.2,1.26,177.9848,0.56,Msini,0.342,K2 V,4976.0,0.74,0.66,-0.47,2.09,4.51,2.5391,,1.0,19.6359,Gas Giant
HD 192699 b,HD 192699,b,1,1,Radial Velocity,2007,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,304.0248392,4.5805708,-16.493,47.13028,23.69661,307.52608,340.94,13.4,1.19,666.17168,2.096,Msini,1.52,G8 IV,5041.0,4.41,1.38,1.009,1.8,3.25,,,1.9,71.8627,Gas Giant
HD 194490 b,HD 194490,b,1,1,Radial Velocity,2022,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,306.9980087,-51.6644646,-35.69138,347.1134,-31.50783,295.96072,13092.18348,12.4,1.11,3561.90296,11.207,Mass,10.3,,5861.32,1.15,1.06,0.147,,4.34,0.98488,,,80.2349,Gas Giant
HD 195019 b,HD 195019,b,2,1,Radial Velocity,1998,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,307.0792427,18.7692509,-11.47701,61.15665,36.56101,315.29255,18.20132,13.0,1.16,1264.9634,3.98,Msini,3.16,G3 IV-V,5751.0,1.48,1.21,0.333,3.2,4.18,0.44916,,2.47,37.6681,Gas Giant
HD 196050 b,HD 196050,b,3,1,Radial Velocity,2002,Ground,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,309.4637796,-60.6347649,-36.35873,335.91879,-40.46661,294.18082,1392.0,12.9,1.15,1493.79351,4.7,Mass,3.82,G3 V,5879.0,1.42,1.27,0.26,4.3,4.25,0.52347,,3.3,50.6742,Gas Giant
HD 196067 b,HD 196067,b,2,1,Radial Velocity,2012,Ground,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,310.4364195,-75.3514992,-33.04892,318.44307,-54.20312,286.2817,3638.0,12.3,1.1,3972.85509,12.5,Mass,11.7,G1 V,6017.0,1.73,1.29,0.572,3.3,4.24,0.31274,,1.45,39.9346,Gas Giant
HD 19615 b,HD 19615,b,1,1,Radial Velocity,2022,Ground,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,BOES Echelle Spectrograph,48.7813299,73.868015,13.7552,132.59319,52.96049,72.30533,402.0,12.6,1.12,2701.54146,8.5,Msini,7.42,K0,4263.0,32.3,1.1,2.515,6.7,1.4,,,2.6,265.155,Gas Giant
