rowid,pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist
2789,Kepler-1571 b,Kepler-1571,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,300.9354067,45.5964836,7.61693,80.78026,63.40728,323.46916,3.38555488,1.52,0.136,2.92,0.0092,M-R relationship,4.57,,6297.0,1.39,1.23,0.194,2.34,4.24,3.3578,,,675.303
2790,Kepler-1572 b,Kepler-1572,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,281.8973341,46.7227061,20.01227,76.08913,69.19555,293.44733,5.49548621,0.94,0.084,0.779,0.00245,M-R relationship,5.15,,5618.0,0.95,0.97,0.373,4.79,4.47,2.94225,,,946.602
2791,Kepler-1573 b,Kepler-1573,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,292.9883129,49.4849664,14.18038,81.66089,69.29209,315.84956,2.6157554,1.2,0.107,1.87,0.00588,M-R relationship,5.95,,5808.0,1.0,1.01,0.169,4.07,4.44,0.97758,,,1455.36
2792,Kepler-1574 b,Kepler-1574,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,292.1586689,49.6377914,14.73259,81.56853,69.66404,314.6576,6.9424334,1.29,0.115,2.21,0.00696,M-R relationship,5.66,,5892.0,1.08,1.06,0.156,3.8,4.4,0.96902,,,1384.16
2793,Kepler-1575 b,Kepler-1575,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,293.7432102,45.7615507,12.09016,78.45373,65.69152,313.02949,2.55314213,1.31,0.117,2.27,0.00714,M-R relationship,5.55,,5667.0,0.92,0.95,-0.037,4.17,4.49,2.61888,,,1246.92
2794,Kepler-1576 b,Kepler-1576,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,289.0739641,40.3660239,12.8219,71.96201,61.72204,301.70649,6.98471973,1.04,0.093,1.12,0.00352,M-R relationship,5.47,,5876.0,1.06,1.05,-0.063,4.07,4.4,1.59966,,,460.91
2795,Kepler-1577 b,Kepler-1577,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,292.9552704,47.5730433,13.37521,79.87524,67.56859,313.59561,6.30560247,1.13,0.101,1.51,0.00474,M-R relationship,5.75,,4862.0,0.74,0.78,-0.607,4.27,4.6,2.23018,,,510.029
2796,Kepler-1578 b,Kepler-1578,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,288.3021104,47.7756227,16.31601,78.73876,68.94091,305.96621,1.45088691,1.04,0.093,1.12,0.00352,M-R relationship,5.47,,5545.0,0.86,0.9,-0.165,4.27,4.53,2.0073,,,1064.05
2797,Kepler-1579 b,Kepler-1579,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,293.288022,43.5149061,11.36968,76.25532,63.7264,310.36824,0.84990789,0.84,0.075,0.52,0.00164,M-R relationship,4.82,,4584.0,0.7,0.75,-0.94,2.24,4.63,2.42054,,,466.0
2798,Kepler-158 b,Kepler-158,b,1,2,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,284.0323723,39.7815365,16.12696,69.82072,62.08309,293.44881,16.709184,2.12,0.189,5.14,0.0162,M-R relationship,2.96,,4623.0,0.62,0.66,-0.757,13.9,4.66,0.50919,,,315.177
