pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
HD 10180 f,HD 10180,f,1,6,Radial Velocity,2010,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,24.4731133,-60.5114881,-55.69407,292.80544,-61.61125,340.44338,122.744,5.24,0.468,23.9,0.0752,Msin(i)/sin(i),0.913,G1 V,5911.0,1.11,1.06,0.173,4.3,4.39,0.92213,,3.0,38.9607,Neptune-like
HD 10180 g,HD 10180,g,1,6,Radial Velocity,2010,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,24.4731133,-60.5114881,-55.69407,292.80544,-61.61125,340.44338,604.67,4.91,0.438,21.4,0.0673,Msin(i)/sin(i),0.993,G1 V,5911.0,1.11,1.06,0.173,4.3,4.39,0.92213,,3.0,38.9607,Neptune-like
HD 102365 b,HD 102365,b,2,1,Radial Velocity,2010,Ground,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,176.6208003,-40.4986211,20.70994,289.79179,-37.8553,195.96766,122.1,4.14,0.369,16.0,0.05,Msini,1.24,G3/5V,5630.0,0.95,0.85,-0.057,9.0,4.57,1.65359,,0.7,9.2894,Neptune-like
HD 103197 b,HD 103197,b,1,1,Radial Velocity,2009,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,178.2201971,-50.2927911,11.49757,293.44815,-45.53916,204.26223,47.84,5.83,0.52,28.6047,0.09,Msini,0.793,K1 V(P),5250.0,0.88,0.8,-0.328,9.1,4.45,1.74247,,,57.1463,Neptune-like
HD 103949 b,HD 103949,b,1,1,Radial Velocity,2019,Ground,Las Campanas Observatory,6.5 m Magellan II Clay Telescope,Carnegie Planet Finder Spectrograph,179.5479558,-23.9241221,37.35505,287.57862,-22.0201,189.60559,120.878,3.35,0.299,11.2,0.03524,Msini,1.64,K3 V,4792.0,0.75,0.77,-0.569,,4.59,2.7045,,,26.4997,Neptune-like
HD 105618 b,HD 105618,b,1,2,Radial Velocity,2022,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,182.4021288,11.2115695,71.29123,269.21713,11.22966,177.68111,10.02245,5.44,0.485,25.42627,0.08,Msini,0.868,,5671.0,1.27,1.01,0.18,,4.23,0.68863,,,70.0837,Neptune-like
HD 107148 c,HD 107148,c,2,2,Radial Velocity,2021,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,184.8059773,-3.3199927,58.57514,287.37149,-1.13814,185.72738,18.3267,4.7,0.42,19.89606,0.0626,Msini,1.05,G5 V,5752.92,1.17,1.11,0.121,5.6,4.35,0.93155,,0.7,49.4156,Neptune-like
HD 109271 b,HD 109271,b,1,2,Radial Velocity,2013,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,188.397397,-11.6215204,51.00899,295.97556,-7.3496,192.30538,7.8543,4.31,0.385,17.162,0.054,Msini,1.18,G5 V,5783.0,1.29,1.05,0.301,7.3,4.28,0.74379,,2.7,55.8716,Neptune-like
HD 109271 c,HD 109271,c,1,2,Radial Velocity,2013,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,188.397397,-11.6215204,51.00899,295.97556,-7.3496,192.30538,30.93,5.27,0.47,24.154,0.076,Msini,0.907,G5 V,5783.0,1.29,1.05,0.301,7.3,4.28,0.74379,,2.7,55.8716,Neptune-like
HD 110113 c,HD 110113,c,1,2,Radial Velocity,2021,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,190.0365636,-44.3120777,18.51297,300.80214,-36.25059,209.10317,6.744,2.114,0.189,10.5,0.03304,Msini,6.11,G,5732.0,0.97,1.0,-0.032,4.0,4.46,1.51187,20.8,1.74,106.307,Neptune-like
HD 115404 A b,HD 115404 A,b,1,2,Radial Velocity,2022,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,199.2155793,17.0160384,78.30331,334.41024,23.18355,190.80188,10.49488,6.09,0.543,30.82936,0.097,Msini,0.75,K2V,5019.17,0.73,0.83,-0.52,,4.63,3.04528,19.0,,10.9816,Neptune-like
HD 11964 c,HD 11964,c,2,2,Radial Velocity,2008,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,29.2884252,-10.2434693,-67.09225,168.57627,-20.77203,23.37422,37.91,5.38,0.48,25.0,0.0788,Msini,0.882,G9 V CN+1,5303.0,2.01,0.91,0.459,7.45,3.79,0.15806,,1.52,33.5369,Neptune-like
HD 12235 b,HD 12235,b,1,2,Radial Velocity,2022,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,30.0391601,3.0959098,-55.52893,154.33809,-8.58534,29.04381,4.36305,3.23,0.288,10.48834,0.033,Msini,1.71,,5986.0,1.8,1.1,0.575,,3.97,0.2651,,,31.7627,Neptune-like
HD 125595 b,HD 125595,b,1,1,Radial Velocity,2009,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,215.3434326,-40.3942443,19.31718,320.90869,-24.79165,226.81895,9.6737,2.4,0.214,6.3566,0.02,Msini,2.53,K4 V,4691.0,0.74,0.29,-0.617,3.53,4.17,2.51689,40.1,1.5,28.1989,Neptune-like
HD 125612 c,HD 125612,c,2,3,Radial Velocity,2009,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,215.2227183,-17.4818147,40.39538,331.38949,-3.2556,218.69485,4.15466,4.07,0.363,15.57359,0.049,Msini,1.27,G3 V,5900.0,1.05,1.05,0.06,1.77,4.41,1.01748,10.5,2.1,57.6207,Neptune-like
HD 127506 b,HD 127506,b,1,1,Radial Velocity,2022,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,217.6848544,35.4546059,67.2894,60.57666,46.90916,199.32694,65.78395,5.67,0.506,27.33324,0.086,Msini,0.824,K3V,4595.32,0.74,0.73,-0.663,,4.57,2.58386,,3.0,22.5279,Neptune-like
HD 134060 b,HD 134060,b,1,2,Radial Velocity,2019,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,227.6847587,-61.4223747,-2.92076,318.80629,-41.68271,244.45694,3.2696,3.16,0.282,10.1,0.0318,Msini,1.76,G3 IV,5966.0,1.16,1.09,0.158,5.6,4.43,1.01593,23.0,2.6,24.0125,Neptune-like
HD 134060 c,HD 134060,c,1,2,Radial Velocity,2019,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,227.6847587,-61.4223747,-2.92076,318.80629,-41.68271,244.45694,1291.5646,5.91,0.527,29.29,0.0922,Msini,0.78,G3 IV,5966.0,1.16,1.09,0.158,5.6,4.43,1.01593,23.0,2.6,24.0125,Neptune-like
HD 136352 c,HD 136352,c,1,3,Radial Velocity,2019,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,230.4401147,-48.3188174,7.38103,327.07069,-28.77012,241.10407,27.59221,2.916,0.26,11.24,0.03536,Mass,2.497668,G4 V,5664.0,1.06,0.87,0.016,12.3,4.39,1.03481,23.8,1.0,14.682,Neptune-like
HD 136352 d,HD 136352,d,1,3,Radial Velocity,2019,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,230.4401147,-48.3188174,7.38103,327.07069,-28.77012,241.10407,107.245,2.562,0.229,8.82,0.02775,Mass,2.878108,G4 V,5664.0,1.06,0.87,0.016,12.3,4.39,1.03481,23.8,1.0,14.682,Neptune-like
