pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
HD 20794 d,HD 20794,d,1,4,Radial Velocity,2011,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,49.9997666,-43.0666533,-56.06514,250.73443,-58.11535,27.24413,90.309,2.04,0.182,4.8,0.015,Msin(i)/sin(i),3.11,G8 V,5401.0,0.92,0.7,-0.163,5.76,4.22,1.70389,,3.0,6.00278,Super Earth
HD 20794 e,HD 20794,e,1,4,Radial Velocity,2017,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,49.9997666,-43.0666533,-56.06514,250.73443,-58.11535,27.24413,147.02,2.03,0.181,4.77,0.01501,Msini,3.13,G8,5401.0,0.92,0.81,-0.163,5.76,4.46,1.70389,,2.0,6.00278,Super Earth
HD 215152 b,HD 215152,b,1,4,Radial Velocity,2018,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,340.8380941,-6.4020685,-53.19847,61.33593,1.57284,339.89396,5.75999,1.19,0.106,1.819,0.00572,Msini,5.93,K3 V,4935.0,0.73,0.77,-0.523,,4.4,2.39889,42.0,3.35,21.5974,Super Earth
HD 215152 c,HD 215152,c,1,4,Radial Velocity,2018,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,340.8380941,-6.4020685,-53.19847,61.33593,1.57284,339.89396,7.28243,1.17,0.105,1.72,0.00541,Msini,5.9,K3 V,4935.0,0.73,0.77,-0.523,,4.4,2.39889,42.0,3.35,21.5974,Super Earth
HD 215152 d,HD 215152,d,1,4,Radial Velocity,2018,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,340.8380941,-6.4020685,-53.19847,61.33593,1.57284,339.89396,10.86499,1.48,0.132,2.801,0.00881,Msini,4.75,K3 V,4935.0,0.73,0.77,-0.523,,4.4,2.39889,42.0,3.35,21.5974,Super Earth
HD 215152 e,HD 215152,e,1,4,Radial Velocity,2018,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,340.8380941,-6.4020685,-53.19847,61.33593,1.57284,339.89396,25.1967,1.51,0.134,2.877,0.00905,Msini,4.59,K3 V,4935.0,0.73,0.77,-0.523,,4.4,2.39889,42.0,3.35,21.5974,Super Earth
HD 219134 b,HD 219134,b,1,6,Radial Velocity,2015,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,348.3372026,57.1696255,-3.20073,109.90724,54.54155,23.75174,3.092926,1.602,0.143,4.74,0.01491,Mass,6.34,K3 V,4699.0,0.78,0.81,-0.577,11.0,4.57,2.438,,0.4,6.53127,Super Earth
HD 219134 c,HD 219134,c,1,6,Radial Velocity,2015,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,348.3372026,57.1696255,-3.20073,109.90724,54.54155,23.75174,6.76458,1.511,0.135,4.36,0.01372,Mass,6.95,K3 V,4699.0,0.78,0.81,-0.577,11.0,4.57,2.438,,0.4,6.53127,Super Earth
HD 219134 d,HD 219134,d,1,6,Radial Velocity,2015,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,348.3372026,57.1696255,-3.20073,109.90724,54.54155,23.75174,46.859,1.61,0.144,16.17,0.05088,Mass,,K3 V,4699.0,0.78,0.81,-0.577,11.0,4.57,2.438,,0.4,6.53127,Super Earth
HD 219134 f,HD 219134,f,1,6,Radial Velocity,2015,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,348.3372026,57.1696255,-3.20073,109.90724,54.54155,23.75174,22.717,1.31,0.117,7.3,0.02297,Mass,,K3 V,4699.0,0.78,0.81,-0.577,11.0,4.57,2.438,,0.4,6.53127,Super Earth
